
...................................................
before gpu command
after gpu command
(1/8);|=========================================================================================|
|     Epoch    |   Iteration  | Time Elapsed |  Mini-batch  |  Mini-batch  | Base Learning|
|              |              |  (seconds)   |     Loss     |   Accuracy   |     Rate     |
|=========================================================================================|
|           10 |         6450 |        59.21 |       0.4405 |       65.62% |     0.016000 |
|           10 |         6500 |        59.64 |       0.3077 |       85.94% |     0.016000 |
|           10 |         6550 |        60.08 |       0.2624 |       84.38% |     0.016000 |
|           10 |         6600 |        60.52 |       0.3306 |       76.56% |     0.016000 |
|           10 |         6650 |        60.95 |       0.2506 |       90.62% |     0.016000 |
|           10 |         6700 |        61.40 |       0.3979 |       81.25% |     0.016000 |
|           10 |         6750 |        61.85 |       0.3803 |       71.88% |     0.016000 |
|           11 |         6800 |        62.30 |       0.2551 |       87.50% |     0.016000 |
|           11 |         6850 |        62.75 |       0.3520 |       82.81% |     0.016000 |
|           11 |         6900 |        63.18 |       0.3168 |       82.81% |     0.016000 |
|           11 |         6950 |        63.62 |       0.3099 |       82.81% |     0.016000 |
|           11 |         7000 |        64.05 |       0.3513 |       78.12% |     0.016000 |
|           11 |         7050 |        64.65 |       0.3304 |       75.00% |     0.016000 |
|           11 |         7100 |        65.17 |       0.4203 |       82.81% |     0.016000 |
|           11 |         7150 |        65.64 |       0.2994 |       81.25% |     0.016000 |
|           11 |         7200 |        66.12 |       0.3398 |       79.69% |     0.016000 |
|           11 |         7250 |        66.60 |       0.3303 |       87.50% |     0.016000 |
|           11 |         7300 |        67.08 |       0.4031 |       82.81% |     0.016000 |
|           11 |         7350 |        67.56 |       0.3069 |       85.94% |     0.016000 |
|           11 |         7400 |        68.03 |       0.3178 |       79.69% |     0.016000 |
|           12 |         7450 |        68.50 |       0.4252 |       84.38% |     0.016000 |
|           12 |         7500 |        68.97 |       0.3396 |       81.25% |     0.016000 |
|           12 |         7550 |        69.43 |       0.5511 |       71.88% |     0.016000 |
|           12 |         7600 |        69.89 |       0.4258 |       73.44% |     0.016000 |
|           12 |         7650 |        70.35 |       0.2854 |       90.62% |     0.016000 |
|           12 |         7700 |        70.81 |       0.3400 |       82.81% |     0.016000 |
|           12 |         7750 |        71.27 |       0.3980 |       75.00% |     0.016000 |
|           12 |         7800 |        71.73 |       0.4363 |       65.62% |     0.016000 |
|           12 |         7850 |        72.19 |       0.3182 |       85.94% |     0.016000 |
|           12 |         7900 |        72.65 |       0.2618 |       82.81% |     0.016000 |
|           12 |         7950 |        73.11 |       0.3292 |       76.56% |     0.016000 |
|           12 |         8000 |        73.58 |       0.2503 |       90.62% |     0.016000 |
|           12 |         8050 |        74.04 |       0.3950 |       78.12% |     0.016000 |
|           12 |         8100 |        74.50 |       0.3802 |       71.88% |     0.016000 |
|           13 |         8150 |        74.97 |       0.2576 |       85.94% |     0.006400 |
|           13 |         8200 |        75.44 |       0.3524 |       81.25% |     0.006400 |
